,Wavelength,Responsivity
1,300,3.55931022007838
2,340,3.62513323284092
3,380,4.31322568586072
4,420,5.79152438950859
5,460,6.93331821927445
6,500,8.31472213847855
7,540,11.5986725354236
8,580,16.8730655411516
9,620,21.8066242990654
10,660,25.2708992463069
11,700,27.8606162194754
12,740,31.8652819616119
13,780,0.660690021103407
14,820,5.54001987337956E-08
15,860,4.67425029042307E-08
16,900,-9.82065239674405E-09
17,940,-1.0512198251432E-07
18,980,-2.30478903426791E-07
19,1020,-3.88607720229123E-07
20,1060,-5.78396419254346E-07
21,1100,-7.86035526077781E-07
