thickness,wavelength,QE,QE_fraction,wavelength_m,Responsivity_A_W
0.5,300,14.75776,0.1475776,3.0000000000000004e-07,0.03559302984624661
0.5,340,13.26238,0.13262380000000001,3.4000000000000003e-07,0.03625130499447292
0.5,380,14.11871,0.1411871,3.8e-07,0.04313222630891368
0.5,420,17.15216,0.1715216,4.2e-07,0.05791504130238166
0.5,460,18.74792,0.1874792,4.6000000000000004e-07,0.0693320727565069
0.5,500,20.68302,0.2068302,5.000000000000001e-07,0.08313946337051553
0.5,540,26.65814,0.26658139999999997,5.4e-07,0.11573024299065418
0.5,580,35.44017,0.35440170000000004,5.800000000000001e-07,0.16525212420862226
0.5,620,41.27527,0.4127527,6.2e-07,0.20573343302180683
0.5,660,43.59212,0.4359212,6.6e-07,0.23129976243593608
0.5,700,44.48553,0.44485529999999995,7.000000000000001e-07,0.2503456617425384
0.5,740,45.69022,0.4569022,7.4e-07,0.27181801065219574
0.5,780,0.4229866,0.004229866,7.8e-07,0.002652433307205306
0.5,820,-3.889356e-08,-3.8893560000000005e-10,8.200000000000001e-07,-2.563981043111246e-10
0.5,860,-9.467028e-08,-9.467028e-10,8.6e-07,-6.545387663551401e-10
0.5,900,-1.649932e-07,-1.6499320000000001e-09,9.000000000000001e-07,-1.193800663249925e-09
0.5,940,-2.421407e-07,-2.421407e-09,9.400000000000001e-07,-1.8298643995578334e-09
0.5,980,-3.246466e-07,-3.246466e-09,9.800000000000001e-07,-2.5577623796603356e-09
0.5,1020,-4.140152e-07,-4.140152e-09,1.02e-06,-3.394999529695508e-09
0.5,1060,-5.095634e-07,-5.095634e-09,1.06e-06,-4.342375270827052e-09
0.5,1100,-6.04789e-07,-6.04789e-09,1.1e-06,-5.348350115566275e-09
0.8,300,14.75777,0.1475777,3.0000000000000004e-07,0.03559305396442569
0.8,340,13.26239,0.1326239,3.4000000000000003e-07,0.0362513323284092
0.8,380,14.11871,0.1411871,3.8e-07,0.04313222630891368
0.8,420,17.15218,0.1715218,4.2e-07,0.05791510883328308
0.8,460,18.74806,0.1874806,4.6000000000000004e-07,0.06933259049341775
0.8,500,20.68397,0.2068397,5.000000000000001e-07,0.08314328208220281
0.8,540,26.68764,0.26687639999999996,5.4e-07,0.11585831052155561
0.8,580,35.79854,0.3579854,5.800000000000001e-07,0.1669231490302482
0.8,620,42.38747,0.4238747,6.2e-07,0.21127710903426788
0.8,660,45.3217,0.453217,6.6e-07,0.2404769128730781
0.8,700,46.58041,0.4658041,7.000000000000001e-07,0.2621347563058989
0.8,740,48.74648,0.4874648,7.4e-07,0.2900001623957391
0.8,780,0.5372521,0.005372521,7.8e-07,0.0033689610129635215
0.8,820,2.540163e-08,2.540163e-10,8.200000000000001e-07,1.6745522339463368e-10
0.8,860,1.146736e-08,1.146736e-10,8.6e-07,7.928392804743241e-11
0.8,900,7.864965e-09,7.864965e-11,9.000000000000001e-07,5.690659029243292e-11
0.8,940,1.079404e-08,1.079404e-10,9.400000000000001e-07,8.157087810270325e-11
0.8,980,1.744253e-08,1.7442529999999999e-10,9.800000000000001e-07,1.3742280695407496e-10
