thickness,wavelength,QE,QE_fraction,wavelength_m,Responsivity_A_W,Bulk Defect Density
0.5,300,14.75776,0.1475776,0.0000003,0.0355930298462466,6288089363337.42
0.5,340,13.26238,0.1326238,0.00000034,0.0362513049944729,6404384406934.21
0.5,380,14.11871,0.1411871,0.00000038,0.0431322263089136,7620011407900.49
0.5,420,17.15216,0.1715216,0.00000042,0.0579150413023816,10231636833500.9
0.5,460,18.74792,0.1874792,0.00000046,0.0693320727565069,12248641689724
0.5,500,20.68302,0.2068302,0.0000005,0.0831394633705155,14687942486268.8
0.5,540,26.65814,0.2665814,0.00000054,0.115730242990654,20445635370452.4
0.5,580,35.44017,0.3544017,0.00000058,0.165252124208622,29194483554614.5
0.5,620,41.27527,0.4127527,0.00000062,0.205733433021807,36346167141590.9
0.5,660,43.59212,0.4359212,0.00000066,0.231299762435936,40862876304677.8
0.5,700,44.48553,0.4448553,0.0000007,0.250345661742538,44227645119313.3
0.5,740,45.69022,0.4569022,0.00000074,0.271818010652196,48021085839812.3
0.5,780,0.4229866,0.004229866,0.00000078,0.0026524333072053,468595613749.313
0.5,820,-0.00000003889356,-3.889356E-10,0.00000082,-2.56398104311125E-10,-45296.9078345736
0.5,860,-0.00000009467028,-9.467028E-10,0.00000086,-6.5453876635514E-10,-115634.950786404
0.5,900,-0.0000001649932,-0.000000001649932,0.0000009,-1.19380066324993E-09,-210904.362032518
0.5,940,-0.0000002421407,-0.000000002421407,0.00000094,-1.82986439955783E-09,-323275.397371736
0.5,980,-0.0000003246466,-0.000000003246466,0.00000098,-2.55776237966034E-09,-451870.449999996
0.5,1020,-0.0000004140152,-0.000000004140152,0.00000102,-3.39499952969551E-09,-599782.050683305
0.5,1060,-0.0000005095634,-0.000000005095634,0.00000106,-4.34237527082705E-09,-767151.430211453
0.5,1100,-0.000000604789,-0.00000000604789,0.0000011,-5.34835011556628E-09,-944873.29733867
0.8,300,14.75777,0.1475777,0.0000003,0.0355930539644256,6288093624207.18
0.8,340,13.26239,0.1326239,0.00000034,0.0362513323284092,6404389235919.96
0.8,380,14.11871,0.1411871,0.00000038,0.0431322263089136,7620011407900.49
0.8,420,17.15218,0.1715218,0.00000042,0.057915108833283,10231648763936.3
0.8,460,18.74806,0.1874806,0.00000046,0.0693325904934177,12248733156395.3
0.8,500,20.68397,0.2068397,0.0000005,0.0831432820822028,14688617123984.3
0.8,540,26.68764,0.2668764,0.00000054,0.115858310521556,20468260588994.6
0.8,580,35.79854,0.3579854,0.00000058,0.166923149030248,29489697349341.5
0.8,620,42.38747,0.4238747,0.00000062,0.211277109034268,37325547945032.7
0.8,660,45.3217,0.453217,0.00000066,0.240476912873078,42484169639322.8
0.8,700,46.58041,0.4658041,0.0000007,0.262134756305899,46310380993372.8
0.8,740,48.74648,0.4874648,0.00000074,0.290000162395739,51233259556830.6
0.8,780,0.5372521,0.005372521,0.00000078,0.0033689610129635,595181921927.565
0.8,820,0.00000002540163,2.540163E-10,0.00000082,1.67455223394634E-10,29583.6969657172
0.8,860,0.00000001146736,1.146736E-10,0.00000086,7.92839280474324E-11,14006.7992748092
0.8,900,0.000000007864965,7.864965E-11,0.0000009,5.69065902924329E-11,10053.4775113949
0.8,940,0.00000001079404,1.079404E-10,0.00000094,8.15708781027033E-11,14410.8263098538
0.8,980,0.00000001744253,1.744253E-10,0.00000098,1.37422806954075E-10,24277.9806726405
0.8,1020,0.00000002081653,2.081653E-10,0.00000102,1.70699311425987E-10,30156.8180383487
0.8,1060,0.00000002016591,2.016591E-10,0.00000106,1.71848976786253E-10,30359.925179115
0.8,1100,0.00000002216409,2.216409E-10,0.0000011,1.96004413626771E-10,34627.3771527112
1.1,300,14.75778,0.1475778,0.0000003,0.0355930780826047,6288097885076.97
1.1,340,13.26239,0.1326239,0.00000034,0.0362513323284092,6404389235919.96
1.1,380,14.11872,0.1411872,0.00000038,0.0431322568586071,7620016805002.22
1.1,420,17.1522,0.171522,0.00000042,0.0579151763641845,10231660694371.7
1.1,460,18.74813,0.1874813,0.00000046,0.0693328493618731,12248778889731
1.1,500,20.68439,0.2068439,0.0000005,0.0831449703547382,14688915384869
